year,race_name,lap_number,driver_id,position,lap_time
2023,Bahrain Grand Prix,6,norris,12,100.814
2023,Bahrain Grand Prix,6,sargeant,13,100.791
2023,Bahrain Grand Prix,6,tsunoda,14,100.886
2023,Bahrain Grand Prix,6,hulkenberg,15,101.00200000000001
2023,Bahrain Grand Prix,6,piastri,16,101.11099999999999
2023,Bahrain Grand Prix,6,zhou,17,101.156
2023,Bahrain Grand Prix,6,gasly,18,101.11
2023,Bahrain Grand Prix,6,de_vries,19,101.125
2023,Bahrain Grand Prix,6,kevin_magnussen,20,101.125
2023,Bahrain Grand Prix,7,max_verstappen,1,98.021
2023,Bahrain Grand Prix,7,leclerc,2,98.691
2023,Bahrain Grand Prix,7,perez,3,98.804
2023,Bahrain Grand Prix,7,sainz,4,99.50200000000001
2023,Bahrain Grand Prix,7,hamilton,5,99.757
2023,Bahrain Grand Prix,7,russell,6,100.056
2023,Bahrain Grand Prix,7,alonso,7,99.729
2023,Bahrain Grand Prix,7,stroll,8,99.945
2023,Bahrain Grand Prix,7,bottas,9,100.564
2023,Bahrain Grand Prix,7,ocon,10,100.488
2023,Bahrain Grand Prix,7,albon,11,100.646
2023,Bahrain Grand Prix,7,norris,12,100.726
2023,Bahrain Grand Prix,7,sargeant,13,100.892
2023,Bahrain Grand Prix,7,tsunoda,14,100.952
2023,Bahrain Grand Prix,7,hulkenberg,15,101.148
2023,Bahrain Grand Prix,7,piastri,16,101.167
2023,Bahrain Grand Prix,7,zhou,17,101.197
2023,Bahrain Grand Prix,7,gasly,18,101.134
2023,Bahrain Grand Prix,7,de_vries,19,101.166
2023,Bahrain Grand Prix,7,kevin_magnussen,20,101.52600000000001
2023,Bahrain Grand Prix,8,max_verstappen,1,98.154
2023,Bahrain Grand Prix,8,leclerc,2,98.614
2023,Bahrain Grand Prix,8,perez,3,99.172
2023,Bahrain Grand Prix,8,sainz,4,99.779
2023,Bahrain Grand Prix,8,hamilton,5,100.267
2023,Bahrain Grand Prix,8,russell,6,100.31
2023,Bahrain Grand Prix,8,alonso,7,99.959
2023,Bahrain Grand Prix,8,stroll,8,99.801
2023,Bahrain Grand Prix,8,bottas,9,100.387
2023,Bahrain Grand Prix,8,ocon,10,100.562
2023,Bahrain Grand Prix,8,albon,11,100.918
2023,Bahrain Grand Prix,8,norris,12,100.857
2023,Bahrain Grand Prix,8,sargeant,13,100.868
2023,Bahrain Grand Prix,8,tsunoda,14,100.846
2023,Bahrain Grand Prix,8,hulkenberg,15,101.249
2023,Bahrain Grand Prix,8,piastri,16,101.295
2023,Bahrain Grand Prix,8,zhou,17,101.184
2023,Bahrain Grand Prix,8,gasly,18,101.173
2023,Bahrain Grand Prix,8,de_vries,19,101.22999999999999
2023,Bahrain Grand Prix,8,kevin_magnussen,20,101.283
2023,Bahrain Grand Prix,9,max_verstappen,1,98.27799999999999
2023,Bahrain Grand Prix,9,leclerc,2,98.828
2023,Bahrain Grand Prix,9,perez,3,98.914
2023,Bahrain Grand Prix,9,sainz,4,99.744
2023,Bahrain Grand Prix,9,hamilton,5,100.32300000000001
2023,Bahrain Grand Prix,9,russell,6,100.42
2023,Bahrain Grand Prix,9,alonso,7,100.275
2023,Bahrain Grand Prix,9,stroll,8,100.106
2023,Bahrain Grand Prix,9,bottas,9,100.275
2023,Bahrain Grand Prix,9,ocon,10,100.866
2023,Bahrain Grand Prix,9,albon,11,100.969
2023,Bahrain Grand Prix,9,norris,12,100.783
2023,Bahrain Grand Prix,9,sargeant,13,100.908
2023,Bahrain Grand Prix,9,tsunoda,14,101.00999999999999
2023,Bahrain Grand Prix,9,hulkenberg,15,101.61500000000001
2023,Bahrain Grand Prix,9,piastri,16,101.53399999999999
2023,Bahrain Grand Prix,9,zhou,17,101.52600000000001
2023,Bahrain Grand Prix,9,de_vries,18,101.57300000000001
2023,Bahrain Grand Prix,9,gasly,19,104.201
2023,Bahrain Grand Prix,9,kevin_magnussen,20,101.27799999999999
2023,Bahrain Grand Prix,10,max_verstappen,1,98.369
2023,Bahrain Grand Prix,10,leclerc,2,99.07300000000001
2023,Bahrain Grand Prix,10,perez,3,99.08500000000001
2023,Bahrain Grand Prix,10,sainz,4,100.102
2023,Bahrain Grand Prix,10,hamilton,5,100.289
2023,Bahrain Grand Prix,10,russell,6,100.532
2023,Bahrain Grand Prix,10,alonso,7,100.203
2023,Bahrain Grand Prix,10,stroll,8,100.19200000000001
2023,Bahrain Grand Prix,10,bottas,9,100.676
2023,Bahrain Grand Prix,10,ocon,10,100.858
2023,Bahrain Grand Prix,10,albon,11,101.119
2023,Bahrain Grand Prix,10,sargeant,12,101.13300000000001
2023,Bahrain Grand Prix,10,norris,13,103.521
2023,Bahrain Grand Prix,10,tsunoda,14,103.749
2023,Bahrain Grand Prix,10,hulkenberg,15,102.25200000000001
2023,Bahrain Grand Prix,10,piastri,16,101.584
